consumption_id,building_id,year,month,heating_kwh,electricity_kwh,total_cost_eur,heating_cost_eur,outdoor_temp_avg_c,heating_degree_days
CONS-000001,BLD-00001,2024,1,27416.0,3323.4,4428.94,3371.59,-1.8,564.7
CONS-000013,BLD-00002,2024,1,14326.2,1669.2,2252.8,1737.0,-2.0,607.5
CONS-000025,BLD-00003,2024,1,162817.7,6011.7,21598.38,19626.0,-0.6,613.0
CONS-000037,BLD-00004,2024,1,5174.1,410.4,744.05,613.51,-1.2,542.5
CONS-000049,BLD-00005,2024,1,28682.5,2183.5,4296.11,3585.61,-1.2,575.1
CONS-000061,BLD-00006,2024,1,75952.2,5340.1,10530.46,8845.78,-2.1,595.4
CONS-000073,BLD-00007,2024,1,81611.6,2983.2,10582.04,9665.1,-2.3,598.2
CONS-000085,BLD-00008,2024,1,21728.1,943.2,3036.78,2735.69,-1.0,589.6
CONS-000097,BLD-00009,2024,1,75313.5,4736.0,10138.45,8632.25,-2.7,561.0
CONS-000109,BLD-00010,2024,1,13936.4,494.4,1804.07,1650.31,-1.3,546.7
CONS-000121,BLD-00011,2024,1,68316.5,5935.9,9914.57,7967.18,-1.1,608.5
CONS-000133,BLD-00012,2024,1,87018.5,2002.6,10956.17,10303.99,-2.8,584.6
CONS-000145,BLD-00013,2024,1,58672.3,2265.8,7797.74,7106.43,-0.0,548.9
CONS-000157,BLD-00014,2024,1,5296.9,566.0,800.42,628.35,-1.2,581.8
CONS-000169,BLD-00015,2024,1,30174.6,1035.4,4039.45,3692.39,-0.0,544.0
CONS-000181,BLD-00016,2024,1,32436.8,1109.7,4447.09,4082.41,-1.8,592.2
CONS-000193,BLD-00017,2024,1,110173.0,4027.4,14988.52,13650.98,-2.3,614.4
CONS-000205,BLD-00018,2024,1,222218.0,4009.8,28453.97,27190.52,-0.1,565.9
CONS-000217,BLD-00019,2024,1,20322.3,1557.6,2910.31,2389.06,-0.6,613.4
CONS-000229,BLD-00020,2024,1,22992.0,860.0,3095.83,2828.99,-0.0,601.5
CONS-000241,BLD-00021,2024,1,42177.1,1311.9,5610.74,5203.36,-0.3,573.8
CONS-000253,BLD-00022,2024,1,32087.7,1101.4,4303.6,3949.47,-2.4,571.3
CONS-000265,BLD-00023,2024,1,94365.8,2562.8,11659.0,10838.84,-1.9,614.1
CONS-000277,BLD-00024,2024,1,51645.1,1258.5,6645.17,6249.84,-0.8,566.4
CONS-000289,BLD-00025,2024,1,48840.9,2271.3,6820.76,6074.92,-2.4,548.8
CONS-000301,BLD-00026,2024,1,144737.7,6687.2,20210.68,18117.6,-2.2,574.9
CONS-000313,BLD-00027,2024,1,72702.9,2358.2,9216.22,8492.63,-0.4,546.0
CONS-000325,BLD-00028,2024,1,82973.9,2442.8,11035.83,10250.27,-0.2,576.2
CONS-000337,BLD-00029,2024,1,213387.0,7947.4,27586.21,25065.45,-2.6,609.5
